Brand,Year,Exterior color,Interior color,Drivetrain,Fuel type,Capacity,Configuration,Valves,Accidents or damage,1-owner vehicle,Personal use only,MPG_min,MPG_max,MPG_mean,Mileage,Price
Land Rover,2016,White,Black,Four-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,21.0,30.0,25.5,68875.0,25950.0
Mazda,2020,Blue,Black,All-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,Yes,20.0,26.0,23.0,38737.0,24999.0
Kia,2022,Black,Black,Front-wheel Drive,Hybrid,1.6,I4,16.0,None reported,Yes,Yes,39.0,35.0,37.0,15926.0,40998.0
GMC,2018,Black,Black,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,Yes,Yes,15.0,22.0,18.5,72906.0,32998.0
Ford,2022,Black,Other,Front-wheel Drive,Hybrid,2.5,I4,16.0,None reported,No,No,44.0,37.0,40.5,18160.0,34867.0
Volkswagen,2020,Silver/Gray,Black,Front-wheel Drive,Gasoline,1.4,I4,16.0,None reported,Yes,No,30.0,40.0,35.0,64642.0,17932.0
Lincoln,2019,White,Other,All-wheel Drive,Gasoline,2.7,V6,24.0,None reported,Yes,No,20.0,25.0,22.5,64868.0,33900.0
Cadillac,2022,Orange,Silver/Gray,Rear-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,602.0,105988.0
Lexus,2018,Other,Other,Four-wheel Drive,Gasoline,4.6,V8,32.0,None reported,Yes,Yes,15.0,18.0,16.5,46199.0,37899.0
Toyota,2022,Silver/Gray,Black,All-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,Yes,27.0,33.0,30.0,7570.0,37000.0
BMW,2017,Black,Black,All-wheel Drive,Gasoline,3.0,I6,24.0,At least 1 accident or damage reported,Yes,No,19.0,26.0,22.5,87588.0,26475.0
INFINITI,2019,White,Other,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,24.0,33.0,28.5,6954.0,28999.0
Chevrolet,2021,Red,Black,Front-wheel Drive,Gasoline,1.5,I4,16.0,None reported,No,No,29.0,36.0,32.5,49243.0,22980.0
BMW,2019,Blue,Black,Rear-wheel Drive,Hybrid,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,31326.0,36996.0
Chevrolet,2021,Metallic,Black,Front-wheel Drive,Gasoline,1.3,I3,12.0,None reported,Yes,Yes,28.0,31.0,29.5,14631.0,24107.0
Lexus,2022,Other,Black,Rear-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,18.0,29.0,23.5,8815.0,76884.0
Buick,2021,Metallic,Black,Front-wheel Drive,Gasoline,1.3,I3,12.0,None reported,Yes,Yes,28.0,31.0,29.5,4626.0,25997.0
Buick,2021,Metallic,Black,All-wheel Drive,Gasoline,1.4,I4,16.0,None reported,Yes,Yes,23.0,30.0,26.5,19379.0,23530.0
Ford,2018,Other,Black,Rear-wheel Drive,Gasoline,5.0,V8,32.0,At least 1 accident or damage reported,No,No,15.0,25.0,20.0,10695.0,49000.0
Ford,2021,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,21.0,28.0,24.5,53499.0,27592.0
Mercedes-Benz,2020,White,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,25.0,35.0,30.0,33499.0,39998.0
INFINITI,2022,Red,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,22.0,28.0,25.0,7665.0,43644.0
Ford,2019,White,Black,Four-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,No,16.0,22.0,19.0,82947.0,25500.0
Land Rover,2015,Silver/Gray,Black,Four-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,Yes,15.0,19.0,17.0,120013.0,18995.0
BMW,2021,Black,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,24.0,32.0,28.0,24588.0,35111.0
Jeep,2016,Silver/Gray,Other,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,16.0,21.0,18.5,69843.0,26995.0
Mercedes-Benz,2018,White,Black,Rear-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,Yes,Yes,24.0,33.0,28.5,37567.0,29000.0
Kia,2022,Silver/Gray,Silver/Gray,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,19.0,26.0,22.5,15248.0,35000.0
Ford,2017,Black,Other,All-wheel Drive,E85 Flex Fuel,3.7,V6,24.0,At least 1 accident or damage reported,No,No,16.0,21.0,18.5,66942.0,16500.0
Hyundai,2022,Silver/Gray,Silver/Gray,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,28.0,33.0,30.5,16505.0,25788.0
RAM,2019,White,Black,Front-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,58602.0,33995.0
Kia,2023,Silver/Gray,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,6006.0,23799.0
Chevrolet,2012,White,Other,Rear-wheel Drive,E85 Flex Fuel,5.3,V8,16.0,None reported,No,Yes,15.0,21.0,18.0,136970.0,19679.0
Volkswagen,2019,Blue,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,21.0,29.0,25.0,26212.0,25930.0
Hyundai,2022,White,Silver/Gray,Front-wheel Drive,Hybrid,1.6,I4,16.0,None reported,Yes,Yes,53.0,56.0,54.5,26500.0,25457.0
Mercedes-Benz,2016,Brown,Other,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,Yes,17.0,21.0,19.0,114703.0,22490.0
Lexus,2022,Silver/Gray,Red,All-wheel Drive,Hybrid,2.5,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,3574.0,58950.0
Toyota,2021,Silver/Gray,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,27.0,31.0,29.0,28720.0,27998.0
Mercedes-Benz,2015,Black,Black,All-wheel Drive,Gasoline,5.5,V8,32.0,None reported,No,No,12.0,14.0,13.0,70531.0,77999.0
Lexus,2016,Black,Black,Four-wheel Drive,Gasoline,5.7,V8,32.0,None reported,Yes,Yes,13.0,18.0,15.5,60436.0,56000.0
BMW,2020,White,Other,All-wheel Drive,Hybrid,3.0,I6,24.0,At least 1 accident or damage reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,44540.0,46995.0
Chevrolet,2022,Metallic,Black,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,Yes,Yes,15.0,20.0,17.5,5918.0,70392.0
BMW,2022,Metallic,Black,All-wheel Drive,Hybrid,3.0,I6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,520.0,78897.0
Chevrolet,2018,Silver/Gray,Black,Front-wheel Drive,Hybrid,1.5,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,30763.0,21950.0
Nissan,2016,Metallic,Black,All-wheel Drive,Gasoline,3.8,V6,24.0,None reported,No,Yes,16.0,22.0,19.0,39280.0,79985.0
Bentley,2016,White,Other,All-wheel Drive,Gasoline,4.0,V8,32.0,None reported,No,Yes,14.0,24.0,19.0,34672.0,82950.0
Cadillac,2017,White,Black,Four-wheel Drive,Gasoline,6.2,V8,16.0,At least 1 accident or damage reported,Yes,Yes,15.0,20.0,17.5,111342.0,35999.0
GMC,2020,Black,Black,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,Yes,Yes,15.0,21.0,18.0,50096.0,49698.0
Genesis,2022,Silver/Gray,Black,All-wheel Drive,Gasoline,3.3,V6,24.0,None reported,Yes,No,17.0,24.0,20.5,17051.0,57987.0
Mercedes-Benz,2023,White,Black,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,727.0,83910.0
Chevrolet,2015,Red,Black,Rear-wheel Drive,Gasoline,6.2,V8,16.0,None reported,No,No,14.0,21.0,17.5,20215.0,49993.0
Genesis,2022,Silver/Gray,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,14177.0,65321.0
INFINITI,2006,Metallic,Black,Rear-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,No,18.0,25.0,21.5,77359.0,12887.0
GMC,2022,White,Black,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,Yes,Yes,15.0,20.0,17.5,7827.0,72516.0
INFINITI,2017,Black,Black,Rear-wheel Drive,Gasoline,5.6,V8,32.0,None reported,Yes,No,14.0,20.0,17.0,32276.0,34998.0
Chevrolet,2016,Red,Black,Front-wheel Drive,E85 Flex Fuel,3.6,V6,24.0,At least 1 accident or damage reported,Yes,No,19.0,29.0,24.0,56960.0,23987.0
Toyota,2016,Silver/Gray,Other,All-wheel Drive,Hybrid,2.5,I4,16.0,None reported,Yes,No,34.0,31.0,32.5,98015.0,23995.0
Lexus,2020,Silver/Gray,Other,Four-wheel Drive,Gasoline,5.7,V8,32.0,None reported,Yes,Yes,12.0,16.0,14.0,39383.0,71981.0
Lexus,2012,Other,Black,Four-wheel Drive,Gasoline,4.6,V8,32.0,At least 1 accident or damage reported,Yes,No,15.0,20.0,17.5,116798.0,20973.0
GMC,2018,Silver/Gray,Black,All-wheel Drive,Gasoline,1.5,I4,16.0,None reported,Yes,No,24.0,28.0,26.0,29694.0,24998.0
Kia,2022,Black,Black,Front-wheel Drive,Hybrid,1.6,I4,16.0,None reported,Yes,Yes,51.0,46.0,48.5,5889.0,32998.0
Volvo,2022,Silver/Gray,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,Yes,No,19.0,27.0,23.0,11019.0,57995.0
INFINITI,2019,Other,Other,Rear-wheel Drive,Gasoline,3.0,V6,24.0,At least 1 accident or damage reported,No,No,20.0,29.0,24.5,34715.0,31995.0
Lincoln,2012,Black,Other,Four-wheel Drive,E85 Flex Fuel,5.4,V8,24.0,At least 1 accident or damage reported,No,No,13.0,18.0,15.5,115138.0,15450.0
Volvo,2008,Silver/Gray,Black,Front-wheel Drive,Gasoline,2.5,I5,20.0,None reported,No,Yes,18.0,27.0,22.5,48724.0,14454.0
BMW,2015,White,Black,All-wheel Drive,Gasoline,4.4,V8,32.0,None reported,No,Yes,15.0,22.0,18.5,69884.0,27985.0
Ford,2016,Other,Other,All-wheel Drive,E85 Flex Fuel,3.5,V6,24.0,At least 1 accident or damage reported,No,No,17.0,24.0,20.5,96857.0,14777.0
Chrysler,2015,Black,Black,All-wheel Drive,E85 Flex Fuel,3.6,V6,24.0,At least 1 accident or damage reported,Yes,No,18.0,29.0,23.5,65715.0,20995.0
Lotus,2011,White,Black,Rear-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,18.0,26.0,22.0,17000.0,52900.0
Ford,2011,Silver/Gray,Other,Rear-wheel Drive,Gasoline,3.7,V6,24.0,None reported,Yes,No,19.0,29.0,24.0,82710.0,12962.0
Mercedes-Benz,2018,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,23.0,30.0,26.5,42021.0,39848.0
Nissan,2021,White,Other,Four-wheel Drive,Gasoline,5.6,V8,32.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,15671.0,42875.0
Audi,2018,White,Black,All-wheel Drive,Gasoline,2.9,V6,24.0,None reported,Yes,Yes,18.0,26.0,22.0,15408.0,58990.0
Toyota,2019,Silver/Gray,Black,All-wheel Drive,Hybrid,2.5,I4,16.0,None reported,Yes,Yes,41.0,38.0,39.5,20198.0,36998.0
Volkswagen,2014,Other,Other,Front-wheel Drive,Gasoline,1.8,I4,16.0,At least 1 accident or damage reported,No,Yes,24.0,27.23954849498328,25.61977424749164,124657.0,9995.0
BMW,2023,Blue,Black,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,902.0,100977.0
Honda,2015,Metallic,Silver/Gray,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,19.0,28.0,23.5,44356.0,18198.0
Volkswagen,2019,White,Silver/Gray,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,21.0,29.0,25.0,29711.0,25998.0
Nissan,2022,Silver/Gray,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,21.0,26.0,23.5,14000.0,46389.0
Audi,2016,Silver/Gray,Black,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,Yes,No,19.0,29.0,24.0,84414.0,26900.0
Audi,2012,Red,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,21.0,29.0,25.0,38535.0,16995.0
Lincoln,2019,Blue,Blue,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,No,16.0,21.0,18.5,44596.0,63499.0
Toyota,2023,Black,Black,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,1059.0,56999.0
BMW,2021,Silver/Gray,Black,Rear-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,Yes,22.0,29.0,25.5,42221.0,49990.0
Lexus,2018,Silver/Gray,Black,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,No,21.0,30.0,25.5,26700.0,28450.0
Audi,2018,Silver/Gray,Black,Front-wheel Drive,Hybrid,1.4,I4,16.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,31385.0,25998.0
BMW,2023,Blue,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,12551.0,45885.0
Ford,2021,White,Black,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,16.0,21.0,18.5,38413.0,55991.0
Volvo,2016,White,Other,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,25.0,37.0,31.0,115236.0,14995.0
Volkswagen,2022,Yellow,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,25.0,34.0,29.5,10573.0,38999.0
BMW,2020,Blue,Black,Rear-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,Yes,22.0,30.0,26.0,35779.0,44488.0
GMC,2016,Black,Black,Rear-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,No,Yes,18.0,26.0,22.0,87277.0,18995.0
Alfa Romeo,2020,White,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,28.0,25.0,21327.0,35189.0
Maserati,2017,Other,Other,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,Yes,16.0,23.0,19.5,40723.0,28000.0
Mitsubishi,2015,Blue,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,Yes,17.0,23.0,20.0,29256.0,37995.0
Toyota,2014,Blue,Black,Front-wheel Drive,Hybrid,1.8,I4,16.0,None reported,No,Yes,51.0,48.0,49.5,50387.0,17900.0
Ford,2020,Blue,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,21.0,28.0,24.5,27522.0,29480.0
Chevrolet,2021,Black,Black,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,Yes,Yes,15.0,20.0,17.5,24328.0,46777.0
Toyota,2020,Silver/Gray,Other,Four-wheel Drive,Gasoline,5.7,V8,32.0,None reported,Yes,Yes,13.0,17.0,15.0,19622.0,47995.0
Mercedes-Benz,2015,Black,Other,All-wheel Drive,E85 Flex Fuel,3.5,V6,24.0,At least 1 accident or damage reported,No,Yes,17.0,22.0,19.5,76985.0,22988.0
BMW,2019,Black,Black,Rear-wheel Drive,Gasoline,4.4,V8,32.0,None reported,Yes,Yes,14.0,20.0,17.0,11410.0,64995.0
GMC,2019,Blue,Silver/Gray,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,No,Yes,16.0,23.0,19.5,32914.0,34987.0
Chevrolet,2020,Red,Other,Rear-wheel Drive,Gasoline,5.3,V8,16.0,At least 1 accident or damage reported,Yes,Yes,20.0,23.0,21.5,18380.0,40482.0
BMW,2022,Black,Blue,All-wheel Drive,Gasoline,4.4,V8,32.0,None reported,Yes,Yes,17.0,24.0,20.5,18210.0,78329.0
Chevrolet,2014,Silver/Gray,Other,Rear-wheel Drive,Gasoline,6.0,V8,16.0,None reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,24338.0,36296.0
Jaguar,2013,Silver/Gray,Other,Rear-wheel Drive,Gasoline,3.0,V6,24.0,At least 1 accident or damage reported,No,Yes,18.0,27.0,22.5,39162.0,21495.0
Toyota,2022,Silver/Gray,Black,All-wheel Drive,Hybrid,2.5,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,12959.0,53990.0
Mazda,2022,Silver/Gray,Black,All-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,Yes,24.0,30.0,27.0,2740.0,34775.0
Kia,2016,Metallic,Silver/Gray,Front-wheel Drive,Gasoline,3.3,V6,24.0,At least 1 accident or damage reported,Yes,No,18.0,24.0,21.0,62265.0,19677.0
Mitsubishi,2019,Red,Black,Four-wheel Drive,Gasoline,1.5,I4,16.0,None reported,Yes,Yes,25.0,26.0,25.5,47708.0,21999.0
Acura,2016,White,Other,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,No,19.0,28.0,23.5,64688.0,21295.0
Ford,2006,Silver/Gray,Silver/Gray,Four-wheel Drive,Diesel,6.0,V8,32.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,115292.0,21995.0
Lexus,2021,Silver/Gray,Other,All-wheel Drive,Hybrid,2.0,I4,16.0,None reported,Yes,Yes,41.0,38.0,39.5,9231.0,38998.0
Mercedes-Benz,2018,Silver/Gray,Black,Rear-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,30.0,26.0,21858.0,35998.0
Toyota,2017,Black,Black,Front-wheel Drive,Gasoline,1.8,I4,16.0,None reported,Yes,No,28.0,36.0,32.0,84263.0,17998.0
BMW,2014,Black,Black,Rear-wheel Drive,Gasoline,3.0,I6,24.0,At least 1 accident or damage reported,Yes,No,20.0,30.0,25.0,137685.0,12990.0
BMW,2023,White,Other,All-wheel Drive,Hybrid,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,2427.0,47891.0
Jaguar,2015,Black,Other,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,No,17.0,27.0,22.0,96813.0,15991.0
Kia,2018,Silver/Gray,Black,Front-wheel Drive,Gasoline,3.3,V6,24.0,None reported,Yes,No,20.0,28.0,24.0,37229.0,24998.0
Volvo,2019,White,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,23.0,31.0,27.0,31855.0,42990.0
Volkswagen,2022,Black,Black,Front-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,No,18.0,24.0,21.0,5873.0,37825.0
Lincoln,2018,White,Red,Four-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,28661.0,57444.0
Lexus,2021,White,Other,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,29.0,37.0,33.0,19027.0,32600.0
Lexus,2008,Other,Black,Rear-wheel Drive,Gasoline,5.0,V8,32.0,None reported,Yes,Yes,16.0,23.0,19.5,83548.0,29995.0
Honda,2017,Black,Black,Front-wheel Drive,Hybrid,2.0,I4,16.0,None reported,No,No,49.0,47.0,48.0,63666.0,24988.0
Honda,2010,Silver/Gray,Other,Front-wheel Drive,Gasoline,2.4,I4,16.0,At least 1 accident or damage reported,No,No,20.0,25.0,22.5,97997.0,15188.0
BMW,2019,Metallic,Black,Rear-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,23.0,30.0,26.5,37436.0,33697.0
Chevrolet,2014,White,Black,Four-wheel Drive,E85 Flex Fuel,6.0,V8,16.0,None reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,123187.0,29950.0
Ford,2021,White,Black,Four-wheel Drive,Gasoline,1.5,I3,12.0,None reported,Yes,Yes,25.0,28.0,26.5,13573.0,33975.0
Mercedes-Benz,2011,Black,Black,Rear-wheel Drive,Gasoline,6.0,V12,36.0,At least 1 accident or damage reported,No,No,12.0,18.0,15.0,90523.0,39437.0
Ford,2022,White,Other,Four-wheel Drive,Gasoline,1.5,I3,12.0,None reported,Yes,Yes,25.0,28.0,26.5,2823.0,32124.0
Toyota,2022,Black,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,3223.0,28499.0
Land Rover,2017,Other,Other,Four-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,Yes,17.0,23.0,20.0,66134.0,38995.0
Chevrolet,2023,Silver/Gray,Black,Front-wheel Drive,Gasoline,1.2,I3,12.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,1543.0,21900.0
Nissan,2020,Red,Other,Rear-wheel Drive,Gasoline,3.7,V6,24.0,None reported,No,Yes,17.0,26.0,21.5,15193.0,35855.0
Honda,2020,Blue,Other,All-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,Yes,18.0,26.0,22.0,15840.0,32500.0
Audi,2010,White,Black,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,No,18.0,26.0,22.0,133697.0,8675.0
MINI,2019,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,21.0,30.0,25.5,9312.0,38390.0
Alfa Romeo,2018,Other,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,23.0,31.0,27.0,38433.0,25995.0
Cadillac,2021,Black,Black,Rear-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,23.0,32.0,27.5,12776.0,41990.0
Honda,2014,Red,Black,Front-wheel Drive,Hybrid,1.5,I4,16.0,At least 1 accident or damage reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,46361.0,18039.0
Acura,2021,White,Black,Front-wheel Drive,Gasoline,2.4,I4,16.0,None reported,Yes,Yes,24.0,34.0,29.0,33693.0,29988.0
Toyota,2007,Blue,Silver/Gray,Front-wheel Drive,Gasoline,2.4,I4,16.0,At least 1 accident or damage reported,No,Yes,24.0,33.0,28.5,155859.0,7798.0
Kia,2022,Silver/Gray,Black,Front-wheel Drive,Hybrid,1.6,I4,16.0,None reported,Yes,Yes,39.0,35.0,37.0,23732.0,35995.0
BMW,2019,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,22.0,29.0,25.5,38123.0,40998.0
INFINITI,2021,White,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,28.0,25.0,25330.0,33800.0
Buick,2018,Metallic,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,No,22.0,32.0,27.0,61276.0,20995.0
Buick,2013,White,Brown,All-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,16.0,22.0,19.0,24896.0,20000.0
Lexus,2012,Black,Black,Rear-wheel Drive,Gasoline,2.5,V6,24.0,None reported,No,Yes,21.0,30.0,25.5,69632.0,20605.0
Acura,2023,White,Red,Front-wheel Drive,Gasoline,1.5,I4,16.0,None reported,Yes,Yes,29.0,36.0,32.5,4298.0,32395.0
Acura,2023,Red,Black,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,Yes,Yes,19.0,24.0,21.5,173.0,64978.0
GMC,2019,White,Other,Four-wheel Drive,Gasoline,6.2,V8,16.0,At least 1 accident or damage reported,Yes,Yes,14.0,20.0,17.0,72392.0,54995.0
Audi,2020,Blue,Black,All-wheel Drive,Hybrid,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,30387.0,46988.0
Mercedes-Benz,2017,White,Black,Rear-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,Yes,20.0,28.0,24.0,33023.0,52390.0
Genesis,2021,White,Black,All-wheel Drive,Gasoline,3.3,V6,24.0,None reported,Yes,Yes,17.0,25.0,21.0,49581.0,36767.0
Honda,2023,Metallic,Silver/Gray,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,1903.0,53756.0
Hummer,2005,Black,Black,Four-wheel Drive,Gasoline,6.0,V8,16.0,At least 1 accident or damage reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,115591.0,32990.0
Nissan,2020,Black,Black,Four-wheel Drive,Gasoline,5.6,V8,32.0,At least 1 accident or damage reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,35371.0,40980.0
BMW,2021,Black,Black,All-wheel Drive,Gasoline,4.4,V8,32.0,None reported,Yes,Yes,17.0,25.0,21.0,35640.0,65994.0
Audi,2018,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,Yes,24.0,34.0,29.0,54795.0,26995.0
Mercedes-Benz,2017,Black,Black,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,Yes,18.0,25.0,21.5,76621.0,35499.0
Honda,2013,Black,Black,All-wheel Drive,Gasoline,2.4,I4,16.0,None reported,No,Yes,22.0,30.0,26.0,109641.0,13900.0
BMW,2013,Silver/Gray,Red,All-wheel Drive,Gasoline,4.4,V8,32.0,At least 1 accident or damage reported,No,Yes,16.0,24.0,20.0,55906.0,26598.0
Ford,2019,Metallic,Black,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,No,16.0,23.0,19.5,63342.0,25990.0
BMW,2016,Other,Other,Rear-wheel Drive,Gasoline,3.0,I6,24.0,None reported,No,Yes,17.0,26.0,21.5,52732.0,40999.0
Chevrolet,2015,White,Black,Front-wheel Drive,Gasoline,2.5,I4,16.0,At least 1 accident or damage reported,No,Yes,22.0,31.0,26.5,75435.0,14890.0
Honda,2022,White,Silver/Gray,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,19.0,28.0,23.5,8271.0,41000.0
Pontiac,2009,Silver/Gray,Black,Rear-wheel Drive,Gasoline,6.0,V8,16.0,At least 1 accident or damage reported,No,No,15.0,24.0,19.5,101159.0,18995.0
Dodge,2005,Black,Other,Rear-wheel Drive,Diesel,5.9,I6,24.0,None reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,198540.0,20899.0
BMW,2017,Blue,Black,Rear-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,Yes,18.0,26.0,22.0,35564.0,43711.0
Nissan,2011,Red,Black,Four-wheel Drive,Gasoline,5.6,V8,32.0,At least 1 accident or damage reported,No,Yes,12.0,17.0,14.5,108056.0,15995.0
Ford,2019,White,Black,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,73455.0,46452.0
Ford,2011,Silver/Gray,Other,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,17.0,23.0,20.0,133824.0,11981.0
Lexus,2023,Other,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,481.0,40991.0
