Brand,Year,Exterior color,Interior color,Drivetrain,Fuel type,Capacity,Configuration,Valves,Accidents or damage,1-owner vehicle,Personal use only,MPG_min,MPG_max,MPG_mean,Mileage,Price
Mazda,2019,Other,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,No,29.0,34.0,31.5,76864.0,18970.0
Chevrolet,2022,Metallic,Black,Rear-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,25.0,27.23954849498328,26.11977424749164,4600.0,34790.0
Cadillac,2018,Red,Black,Rear-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,22.0,31.0,26.5,53847.0,20900.0
Genesis,2022,Other,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,No,19.0,25.0,22.0,12413.0,50960.0
Toyota,2019,Other,Black,Four-wheel Drive,Gasoline,4.0,V6,24.0,At least 1 accident or damage reported,Yes,Yes,17.0,20.0,18.5,49630.0,42337.0
Lexus,2019,White,Black,Rear-wheel Drive,Gasoline,5.0,V8,32.0,None reported,No,No,16.0,25.0,20.5,1938.0,63488.0
Ford,2013,Silver/Gray,Silver/Gray,Four-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,Yes,No,14.0,19.0,16.5,137820.0,16995.0
Toyota,2019,Silver/Gray,Black,Four-wheel Drive,Gasoline,5.7,V8,32.0,None reported,No,Yes,13.0,17.0,15.0,48652.0,41839.0
Toyota,2003,Red,Other,Front-wheel Drive,Gasoline,1.5,I4,16.0,None reported,No,Yes,33.0,39.0,36.0,55364.0,8200.0
Ford,2015,White,Black,Four-wheel Drive,E85 Flex Fuel,5.0,V8,32.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,250742.0,18000.0
Buick,2013,Black,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,106834.0,11881.0
Jeep,2022,White,Black,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,19188.0,54450.0
Ford,2019,Brown,Black,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,No,17.0,22.0,19.5,95411.0,38000.0
Audi,2017,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,No,23.0,27.0,25.0,74672.0,32645.0
Ford,2023,White,Black,Four-wheel Drive,Gasoline,2.7,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,2013.0,68587.0
Audi,2019,White,Silver/Gray,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,29.0,25.5,23768.0,38286.0
Lexus,2019,White,Other,All-wheel Drive,Hybrid,2.5,I4,16.0,None reported,Yes,Yes,33.0,30.0,31.5,28419.0,36988.0
Ford,2013,White,Other,Four-wheel Drive,Gasoline,6.2,V8,16.0,At least 1 accident or damage reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,102502.0,24788.0
Toyota,2020,Silver/Gray,Silver/Gray,All-wheel Drive,Hybrid,2.5,I4,16.0,None reported,Yes,Yes,35.0,35.0,35.0,97209.0,29195.0
Toyota,2020,White,Black,Four-wheel Drive,Gasoline,5.7,V8,32.0,None reported,Yes,Yes,13.0,17.0,15.0,63950.0,45185.0
Mazda,2016,Silver/Gray,Black,All-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,Yes,21.0,27.0,24.0,65021.0,24604.0
Toyota,2015,Silver/Gray,Silver/Gray,Front-wheel Drive,Hybrid,1.8,I4,16.0,At least 1 accident or damage reported,No,Yes,51.0,48.0,49.5,88261.0,16428.0
Toyota,2004,Metallic,Other,Four-wheel Drive,Gasoline,4.0,V6,24.0,At least 1 accident or damage reported,Yes,No,18.0,21.0,19.5,233546.0,8457.0
Lexus,2018,White,Black,Rear-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,19.0,30.0,24.5,45838.0,47885.0
Lexus,2020,White,Red,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,28.0,25.0,21495.0,37181.0
Lexus,2019,Blue,Black,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,22.0,31.0,26.5,23314.0,37900.0
Lincoln,2020,Red,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,21.0,29.0,25.0,23468.0,32002.0
BMW,2019,Black,Other,All-wheel Drive,Gasoline,3.0,I6,24.0,At least 1 accident or damage reported,Yes,Yes,21.0,29.0,25.0,30231.0,37414.0
