Brand,Year,Exterior color,Interior color,Drivetrain,Fuel type,Capacity,Configuration,Valves,Accidents or damage,1-owner vehicle,Personal use only,MPG_min,MPG_max,MPG_mean,Mileage,Usage Intensity,Ownership History,Engine Power,Fuel Efficiency,Origin,Gallons Per Year,Price
Audi,2018,White,Silver/Gray,All-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,Yes,23.0,27.0,25.0,58943.0,9823.833333333334,Bad,32.0,12.5,European,392.9533333333333,34411.0
Volkswagen,2011,Black,Black,Front-wheel Drive,Diesel,2.0,I4,16.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,60023.0,4617.153846153846,Potential Risk,32.0,11.958081395227762,European,193.05579605757086,13700.0
Mercedes-Benz,2020,White,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,23.0,29.0,26.0,29812.0,7453.0,Good,32.0,13.0,European,286.65384615384613,37491.0
Ford,2003,Silver/Gray,Other,Four-wheel Drive,Diesel,6.0,V8,32.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,242959.0,11569.47619047619,Potential Risk,192.0,3.986027131742587,American,483.7513564296921,7900.0
Nissan,2009,Silver/Gray,Other,Four-wheel Drive,Gasoline,4.0,V6,24.0,None reported,Yes,No,15.0,19.0,17.0,90567.0,6037.8,Good,96.0,4.25,Asian,355.1647058823529,12994.0
Chrysler,2012,Other,Black,Front-wheel Drive,E85 Flex Fuel,3.6,V6,24.0,At least 1 accident or damage reported,Yes,Yes,19.0,29.0,24.0,42686.0,3557.1666666666665,Potential Risk,86.4,6.666666666666666,American,148.21527777777777,12989.0
BMW,2022,Silver/Gray,Red,Rear-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,25.0,34.0,29.5,16527.0,8263.5,Good,32.0,14.75,European,280.1186440677966,48990.0
Ford,2021,Other,Black,Four-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,21.0,26.0,23.5,34155.0,11385.0,Good,32.0,11.75,American,484.46808510638294,34797.0
Honda,2022,Red,Black,Front-wheel Drive,Gasoline,1.5,I4,16.0,None reported,Yes,Yes,28.0,34.0,31.0,64300.0,32150.0,Good,24.0,20.666666666666668,Asian,1037.0967741935483,24300.0
Mercedes-Benz,2018,Blue,Brown,All-wheel Drive,Gasoline,3.0,V6,24.0,At least 1 accident or damage reported,No,Yes,20.0,27.0,23.5,36201.0,6033.5,Bad,72.0,7.833333333333333,European,256.74468085106383,33724.0
Mercedes-Benz,2020,Black,Black,All-wheel Drive,Gasoline,4.0,V8,32.0,None reported,Yes,Yes,17.0,21.0,19.0,46701.0,11675.25,Good,128.0,4.75,European,614.4868421052631,60891.0
Mercedes-Benz,2020,Black,Black,All-wheel Drive,Gasoline,4.0,V8,32.0,None reported,Yes,Yes,16.0,21.0,18.5,37909.0,9477.25,Good,128.0,4.625,European,512.2837837837837,81999.0
Mercedes-Benz,2017,Silver/Gray,Brown,All-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,No,18.0,23.0,20.5,89625.0,12803.57142857143,Bad,84.0,5.857142857142857,European,624.5644599303135,22988.0
Toyota,2021,Black,Black,Front-wheel Drive,Gasoline,2.5,I4,16.0,At least 1 accident or damage reported,Yes,No,28.0,39.0,33.5,33161.0,11053.666666666666,Potential Risk,40.0,13.4,Asian,329.9601990049751,25357.0
Buick,2017,Red,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,No,15.0,22.0,18.5,102914.0,14702.0,Good,86.4,5.138888888888888,American,794.7027027027027,16995.0
Hyundai,2020,Black,Black,Front-wheel Drive,Gasoline,2.4,I4,16.0,None reported,Yes,Yes,22.0,29.0,25.5,31716.0,7929.0,Good,38.4,10.625,Asian,310.94117647058823,22900.0
Nissan,2016,Silver/Gray,Black,All-wheel Drive,Hybrid,2.5,I4,16.0,At least 1 accident or damage reported,Yes,Yes,26.0,30.0,28.0,31599.0,3949.875,Potential Risk,40.0,11.2,Asian,141.06696428571428,19498.0
Toyota,2020,Silver/Gray,Other,Four-wheel Drive,Gasoline,5.7,V8,32.0,None reported,Yes,Yes,13.0,17.0,15.0,31524.0,7881.0,Good,182.4,2.631578947368421,Asian,525.4,58967.0
Volkswagen,2022,Silver/Gray,Black,All-wheel Drive,Gasoline,1.5,I4,16.0,None reported,Yes,No,25.0,32.0,28.5,15463.0,7731.5,Good,24.0,19.0,European,271.280701754386,30327.0
BMW,2022,Silver/Gray,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,24.0,31.0,27.5,7060.0,3530.0,Good,32.0,13.75,European,128.36363636363637,36995.0
Cadillac,2022,Black,Black,Rear-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,2971.0,1485.5,Good,99.2,3.857445611363794,American,62.112806850137105,104880.0
Mercedes-Benz,2015,White,Black,Rear-wheel Drive,Gasoline,4.7,V8,32.0,None reported,No,Yes,17.0,24.0,20.5,79551.0,8839.0,Potential Risk,150.4,4.361702127659575,European,431.1707317073171,42977.0
MINI,2012,Red,Black,Front-wheel Drive,Gasoline,1.6,I4,16.0,None reported,Yes,No,26.0,32.0,29.0,75135.0,6261.25,Good,25.6,18.125,European,215.9051724137931,12892.0
